id,name,supertype,subtypes,hp,types,rarity,artist,attacks_count,attacks_damage,converted_retreat_cost,set_id,set_name,series,release_date,set_total
base1-1,Alakazam,Pokémon,Stage 2,80,Psychic,Rare Holo,Ken Sugimori,1,30,3.0,base1,Base,Base,1999/01/09,102
base1-2,Blastoise,Pokémon,Stage 2,100,Water,Rare Holo,Ken Sugimori,1,40+,3.0,base1,Base,Base,1999/01/09,102
base1-3,Chansey,Pokémon,Basic,120,Colorless,Rare Holo,Ken Sugimori,2,|80,1.0,base1,Base,Base,1999/01/09,102
base1-4,Charizard,Pokémon,Stage 2,120,Fire,Rare Holo,Mitsuhiro Arita,1,100,3.0,base1,Base,Base,1999/01/09,102
base1-5,Clefairy,Pokémon,Basic,40,Colorless,Rare Holo,Ken Sugimori,2,|,1.0,base1,Base,Base,1999/01/09,102
base1-6,Gyarados,Pokémon,Stage 1,100,Water,Rare Holo,Mitsuhiro Arita,2,50|40,3.0,base1,Base,Base,1999/01/09,102
base1-7,Hitmonchan,Pokémon,Basic,70,Fighting,Rare Holo,Ken Sugimori,2,20|40,2.0,base1,Base,Base,1999/01/09,102
base1-8,Machamp,Pokémon,Stage 2,100,Fighting,Rare Holo,Ken Sugimori,1,60,3.0,base1,Base,Base,1999/01/09,102
base1-9,Magneton,Pokémon,Stage 1,60,Lightning,Rare Holo,Keiji Kinebuchi,2,30|80,1.0,base1,Base,Base,1999/01/09,102
base1-10,Mewtwo,Pokémon,Basic,60,Psychic,Rare Holo,Ken Sugimori,2,10+|,3.0,base1,Base,Base,1999/01/09,102
base1-11,Nidoking,Pokémon,Stage 2,90,Grass,Rare Holo,Ken Sugimori,2,30+|20,3.0,base1,Base,Base,1999/01/09,102
base1-12,Ninetales,Pokémon,Stage 1,80,Fire,Rare Holo,Ken Sugimori,2,|80,1.0,base1,Base,Base,1999/01/09,102
base1-13,Poliwrath,Pokémon,Stage 2,90,Water,Rare Holo,Ken Sugimori,2,30+|40,3.0,base1,Base,Base,1999/01/09,102
base1-14,Raichu,Pokémon,Stage 1,80,Lightning,Rare Holo,Ken Sugimori,2,20|60,1.0,base1,Base,Base,1999/01/09,102
base1-15,Venusaur,Pokémon,Stage 2,100,Grass,Rare Holo,Mitsuhiro Arita,1,60,2.0,base1,Base,Base,1999/01/09,102
base1-16,Zapdos,Pokémon,Basic,90,Lightning,Rare Holo,Ken Sugimori,2,60|100,3.0,base1,Base,Base,1999/01/09,102
base1-17,Beedrill,Pokémon,Stage 2,80,Grass,Rare,Ken Sugimori,2,30×|40,,base1,Base,Base,1999/01/09,102
base1-18,Dragonair,Pokémon,Stage 1,80,Colorless,Rare,Mitsuhiro Arita,2,30×|20,2.0,base1,Base,Base,1999/01/09,102
base1-19,Dugtrio,Pokémon,Stage 1,70,Fighting,Rare,Keiji Kinebuchi,2,40|70,2.0,base1,Base,Base,1999/01/09,102
base1-20,Electabuzz,Pokémon,Basic,70,Lightning,Rare,Ken Sugimori,2,10|30+,2.0,base1,Base,Base,1999/01/09,102
base1-21,Electrode,Pokémon,Stage 1,80,Lightning,Rare,Keiji Kinebuchi,1,50,1.0,base1,Base,Base,1999/01/09,102
base1-22,Pidgeotto,Pokémon,Stage 1,60,Colorless,Rare,Ken Sugimori,2,20|,1.0,base1,Base,Base,1999/01/09,102
base1-23,Arcanine,Pokémon,Stage 1,100,Fire,Uncommon,Ken Sugimori,2,50|80,3.0,base1,Base,Base,1999/01/09,102
base1-24,Charmeleon,Pokémon,Stage 1,80,Fire,Uncommon,Mitsuhiro Arita,2,30|50,1.0,base1,Base,Base,1999/01/09,102
base1-25,Dewgong,Pokémon,Stage 1,80,Water,Uncommon,Mitsuhiro Arita,2,50|30,3.0,base1,Base,Base,1999/01/09,102
base1-26,Dratini,Pokémon,Basic,40,Colorless,Uncommon,Ken Sugimori,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-27,Farfetch'd,Pokémon,Basic,50,Colorless,Uncommon,Ken Sugimori,2,30|30,1.0,base1,Base,Base,1999/01/09,102
base1-28,Growlithe,Pokémon,Basic,60,Fire,Uncommon,Ken Sugimori,1,20,1.0,base1,Base,Base,1999/01/09,102
base1-29,Haunter,Pokémon,Stage 1,60,Psychic,Uncommon,Keiji Kinebuchi,2,|50,1.0,base1,Base,Base,1999/01/09,102
base1-30,Ivysaur,Pokémon,Stage 1,60,Grass,Uncommon,Ken Sugimori,2,30|20,1.0,base1,Base,Base,1999/01/09,102
base1-31,Jynx,Pokémon,Basic,70,Psychic,Uncommon,Ken Sugimori,2,10×|20+,2.0,base1,Base,Base,1999/01/09,102
base1-32,Kadabra,Pokémon,Stage 1,60,Psychic,Uncommon,Ken Sugimori,2,|50,3.0,base1,Base,Base,1999/01/09,102
base1-33,Kakuna,Pokémon,Stage 1,80,Grass,Uncommon,Keiji Kinebuchi,2,|20,2.0,base1,Base,Base,1999/01/09,102
base1-34,Machoke,Pokémon,Stage 1,80,Fighting,Uncommon,Ken Sugimori,2,50-|60,3.0,base1,Base,Base,1999/01/09,102
base1-35,Magikarp,Pokémon,Basic,30,Water,Uncommon,Mitsuhiro Arita,2,10|10×,1.0,base1,Base,Base,1999/01/09,102
base1-36,Magmar,Pokémon,Basic,50,Fire,Uncommon,Ken Sugimori,2,30|50,2.0,base1,Base,Base,1999/01/09,102
base1-37,Nidorino,Pokémon,Stage 1,60,Grass,Uncommon,Mitsuhiro Arita,2,30×|50,1.0,base1,Base,Base,1999/01/09,102
base1-38,Poliwhirl,Pokémon,Stage 1,60,Water,Uncommon,Ken Sugimori,2,|30×,1.0,base1,Base,Base,1999/01/09,102
base1-39,Porygon,Pokémon,Basic,30,Colorless,Uncommon,Tomoaki Imakuni,2,|,1.0,base1,Base,Base,1999/01/09,102
base1-40,Raticate,Pokémon,Stage 1,60,Colorless,Uncommon,Ken Sugimori,2,20|?,1.0,base1,Base,Base,1999/01/09,102
base1-41,Seel,Pokémon,Basic,60,Water,Uncommon,Ken Sugimori,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-42,Wartortle,Pokémon,Stage 1,70,Water,Uncommon,Ken Sugimori,2,|40,1.0,base1,Base,Base,1999/01/09,102
base1-43,Abra,Pokémon,Basic,30,Psychic,Common,Mitsuhiro Arita,1,10,,base1,Base,Base,1999/01/09,102
base1-44,Bulbasaur,Pokémon,Basic,40,Grass,Common,Mitsuhiro Arita,1,20,1.0,base1,Base,Base,1999/01/09,102
base1-45,Caterpie,Pokémon,Basic,40,Grass,Common,Ken Sugimori,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-46,Charmander,Pokémon,Basic,50,Fire,Common,Mitsuhiro Arita,2,10|30,1.0,base1,Base,Base,1999/01/09,102
base1-47,Diglett,Pokémon,Basic,30,Fighting,Common,Keiji Kinebuchi,2,10|30,,base1,Base,Base,1999/01/09,102
base1-48,Doduo,Pokémon,Basic,50,Colorless,Common,Mitsuhiro Arita,1,10×,,base1,Base,Base,1999/01/09,102
base1-49,Drowzee,Pokémon,Basic,50,Psychic,Common,Ken Sugimori,2,10|10,1.0,base1,Base,Base,1999/01/09,102
base1-50,Gastly,Pokémon,Basic,30,Psychic,Common,Keiji Kinebuchi,2,|,,base1,Base,Base,1999/01/09,102
base1-51,Koffing,Pokémon,Basic,50,Grass,Common,Mitsuhiro Arita,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-52,Machop,Pokémon,Basic,50,Fighting,Common,Mitsuhiro Arita,1,20,1.0,base1,Base,Base,1999/01/09,102
base1-53,Magnemite,Pokémon,Basic,40,Lightning,Common,Keiji Kinebuchi,2,10|40,1.0,base1,Base,Base,1999/01/09,102
base1-54,Metapod,Pokémon,Stage 1,70,Grass,Common,Ken Sugimori,2,|20,2.0,base1,Base,Base,1999/01/09,102
base1-55,Nidoran ♂,Pokémon,Basic,40,Grass,Common,Ken Sugimori,1,30,1.0,base1,Base,Base,1999/01/09,102
base1-56,Onix,Pokémon,Basic,90,Fighting,Common,Ken Sugimori,2,10|,3.0,base1,Base,Base,1999/01/09,102
base1-57,Pidgey,Pokémon,Basic,40,Colorless,Common,Ken Sugimori,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-58,Pikachu,Pokémon,Basic,40,Lightning,Common,Mitsuhiro Arita,2,10|30,1.0,base1,Base,Base,1999/01/09,102
base1-59,Poliwag,Pokémon,Basic,40,Water,Common,Ken Sugimori,1,10+,1.0,base1,Base,Base,1999/01/09,102
base1-60,Ponyta,Pokémon,Basic,40,Fire,Common,Ken Sugimori,2,20|30,1.0,base1,Base,Base,1999/01/09,102
base1-61,Rattata,Pokémon,Basic,30,Colorless,Common,Mitsuhiro Arita,1,20,,base1,Base,Base,1999/01/09,102
base1-62,Sandshrew,Pokémon,Basic,40,Fighting,Common,Ken Sugimori,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-63,Squirtle,Pokémon,Basic,40,Water,Common,Mitsuhiro Arita,2,10|,1.0,base1,Base,Base,1999/01/09,102
base1-64,Starmie,Pokémon,Stage 1,60,Water,Common,Keiji Kinebuchi,2,|20,1.0,base1,Base,Base,1999/01/09,102
base1-65,Staryu,Pokémon,Basic,40,Water,Common,Keiji Kinebuchi,1,20,1.0,base1,Base,Base,1999/01/09,102
base1-66,Tangela,Pokémon,Basic,50,Grass,Common,Mitsuhiro Arita,2,20|20,2.0,base1,Base,Base,1999/01/09,102
base1-67,Voltorb,Pokémon,Basic,40,Lightning,Common,Keiji Kinebuchi,1,10,1.0,base1,Base,Base,1999/01/09,102
